Imatest,3.7, Image Sensor, Stepchart
File,DSC01041.ARW
Run date,01-Dec-2022 20:30:45

Zones,21

Log exposure and analysis levels (Luminance (Y) channel for color images)
Zone,Pixel,Pixel/255,Log(exp),Log(px/255),Lux (patch)
 1,    9.6, 0.0377, -0.0500, -1.4231
 2,    8.3, 0.0325, -0.1500, -1.4881
 3,    6.8, 0.0265, -0.2500, -1.5764
 4,    5.9, 0.0231, -0.3500, -1.6356
 5,    5.0, 0.0196, -0.4500, -1.7081
 6,    4.5, 0.0175, -0.5500, -1.7577
 7,    3.8, 0.0150, -0.6500, -1.8236
 8,    3.5, 0.0138, -0.7500, -1.8589
 9,    3.1, 0.0122, -0.8500, -1.9126
10,    2.9, 0.0115, -0.9500, -1.9381
11,    2.8, 0.0109, -1.0500, -1.9620
12,    2.6, 0.0103, -1.1500, -1.9886
13,    2.5, 0.0098, -1.2500, -2.0104
14,    2.4, 0.0094, -1.3500, -2.0255
15,    2.4, 0.0092, -1.4500, -2.0350
16,    2.3, 0.0090, -1.5500, -2.0445
17,    2.2, 0.0088, -1.6500, -2.0574
18,    2.2, 0.0088, -1.7500, -2.0566
19,    2.3, 0.0089, -1.8500, -2.0491
20,    2.3, 0.0092, -1.9500, -2.0356
21,    2.4, 0.0095, -2.0500, -2.0236

'Densities' are -log10(normalized pixel levels) for Y R G and B channels
Zone,(-)Log(exp),Y-density,R-density,G-density,B-density
 1,  0.0500,  1.4231,  1.4231,  1.0595,  1.0598
 2,  0.1500,  1.4881,  1.4880,  1.1438,  1.1435
 3,  0.2500,  1.5764,  1.5763,  1.2449,  1.2451
 4,  0.3500,  1.6356,  1.6357,  1.3125,  1.3125
 5,  0.4500,  1.7081,  1.7079,  1.4035,  1.4040
 6,  0.5500,  1.7577,  1.7579,  1.4725,  1.4727
 7,  0.6500,  1.8236,  1.8236,  1.5673,  1.5665
 8,  0.7500,  1.8589,  1.8586,  1.6239,  1.6238
 9,  0.8500,  1.9126,  1.9124,  1.7023,  1.7025
10,  0.9500,  1.9381,  1.9381,  1.7470,  1.7463
11,  1.0500,  1.9620,  1.9621,  1.7904,  1.7898
12,  1.1500,  1.9886,  1.9889,  1.8370,  1.8363
13,  1.2500,  2.0104,  2.0105,  1.8811,  1.8807
14,  1.3500,  2.0255,  2.0255,  1.9143,  1.9142
15,  1.4500,  2.0350,  2.0350,  1.9340,  1.9335
16,  1.5500,  2.0445,  2.0444,  1.9487,  1.9496
17,  1.6500,  2.0574,  2.0575,  1.9772,  1.9774
18,  1.7500,  2.0566,  2.0563,  1.9780,  1.9784
19,  1.8500,  2.0491,  2.0493,  1.9639,  1.9640
20,  1.9500,  2.0356,  2.0356,  1.9382,  1.9392
21,  2.0500,  2.0236,  2.0235,  1.9128,  1.9120

Zone,(-)Log(exp),Y-slope,R-slope,G-slope,B-slope
 1,  0.050,  0.650,  0.649,  0.843,  0.837
 2,  0.150,  0.767,  0.766,  0.927,  0.926
 3,  0.250,  0.738,  0.739,  0.844,  0.845
 4,  0.350,  0.658,  0.658,  0.793,  0.795
 5,  0.450,  0.611,  0.611,  0.800,  0.801
 6,  0.550,  0.578,  0.578,  0.819,  0.812
 7,  0.650,  0.506,  0.503,  0.757,  0.756
 8,  0.750,  0.445,  0.444,  0.675,  0.680
 9,  0.850,  0.396,  0.397,  0.615,  0.612
10,  0.950,  0.247,  0.248,  0.441,  0.437
11,  1.050,  0.253,  0.254,  0.450,  0.450
12,  1.150,  0.242,  0.242,  0.453,  0.455
13,  1.250,  0.185,  0.183,  0.387,  0.389
14,  1.350,  0.123,  0.122,  0.264,  0.264
15,  1.450,  0.095,  0.095,  0.172,  0.177
16,  1.550,  0.112,  0.113,  0.216,  0.220
17,  1.650,  0.060,  0.059,  0.147,  0.144
18,  1.750, -0.041, -0.041, -0.066, -0.067
19,  1.850, -0.105, -0.103, -0.199, -0.196
