Imatest,3.7, Image Sensor, Stepchart
File,DSC01017.ARW
Run date,01-Dec-2022 20:27:59

Zones,21

Log exposure and analysis levels (Luminance (Y) channel for color images)
Zone,Pixel,Pixel/255,Log(exp),Log(px/255),Lux (patch)
 1,   12.2, 0.0480, -0.0500, -1.3187
 2,   10.4, 0.0410, -0.1500, -1.3875
 3,    8.4, 0.0330, -0.2500, -1.4819
 4,    7.2, 0.0284, -0.3500, -1.5472
 5,    6.0, 0.0236, -0.4500, -1.6267
 6,    5.3, 0.0208, -0.5500, -1.6821
 7,    4.4, 0.0174, -0.6500, -1.7583
 8,    4.1, 0.0159, -0.7500, -1.7978
 9,    3.5, 0.0138, -0.8500, -1.8611
10,    3.2, 0.0127, -0.9500, -1.8949
11,    3.0, 0.0119, -1.0500, -1.9247
12,    2.8, 0.0110, -1.1500, -1.9571
13,    2.6, 0.0104, -1.2500, -1.9837
14,    2.5, 0.0099, -1.3500, -2.0027
15,    2.5, 0.0097, -1.4500, -2.0149
16,    2.4, 0.0094, -1.5500, -2.0266
17,    2.3, 0.0091, -1.6500, -2.0415
18,    2.3, 0.0091, -1.7500, -2.0411
19,    2.4, 0.0094, -1.8500, -2.0286
20,    2.5, 0.0097, -1.9500, -2.0128
21,    2.6, 0.0101, -2.0500, -1.9951

'Densities' are -log10(normalized pixel levels) for Y R G and B channels
Zone,(-)Log(exp),Y-density,R-density,G-density,B-density
 1,  0.0500,  1.3187,  1.3186,  0.9412,  0.9409
 2,  0.1500,  1.3875,  1.3880,  1.0273,  1.0273
 3,  0.2500,  1.4819,  1.4819,  1.1321,  1.1320
 4,  0.3500,  1.5472,  1.5475,  1.2028,  1.2022
 5,  0.4500,  1.6267,  1.6271,  1.2989,  1.2987
 6,  0.5500,  1.6821,  1.6820,  1.3709,  1.3710
 7,  0.6500,  1.7583,  1.7583,  1.4726,  1.4722
 8,  0.7500,  1.7978,  1.7975,  1.5348,  1.5347
 9,  0.8500,  1.8611,  1.8610,  1.6205,  1.6199
10,  0.9500,  1.8949,  1.8950,  1.6748,  1.6733
11,  1.0500,  1.9247,  1.9247,  1.7239,  1.7226
12,  1.1500,  1.9571,  1.9573,  1.7779,  1.7767
13,  1.2500,  1.9837,  1.9834,  1.8289,  1.8277
14,  1.3500,  2.0027,  2.0026,  1.8679,  1.8669
15,  1.4500,  2.0149,  2.0147,  1.8898,  1.8902
16,  1.5500,  2.0266,  2.0267,  1.9104,  1.9091
17,  1.6500,  2.0415,  2.0415,  1.9407,  1.9405
18,  1.7500,  2.0411,  2.0410,  1.9421,  1.9423
19,  1.8500,  2.0286,  2.0286,  1.9201,  1.9209
20,  1.9500,  2.0128,  2.0128,  1.8911,  1.8912
21,  2.0500,  1.9951,  1.9952,  1.8596,  1.8591

Zone,(-)Log(exp),Y-slope,R-slope,G-slope,B-slope
 1,  0.050,  0.689,  0.694,  0.861,  0.863
 2,  0.150,  0.816,  0.817,  0.955,  0.955
 3,  0.250,  0.799,  0.798,  0.878,  0.875
 4,  0.350,  0.724,  0.726,  0.834,  0.834
 5,  0.450,  0.674,  0.672,  0.841,  0.844
 6,  0.550,  0.658,  0.656,  0.868,  0.867
 7,  0.650,  0.578,  0.578,  0.819,  0.818
 8,  0.750,  0.514,  0.514,  0.740,  0.738
 9,  0.850,  0.485,  0.488,  0.700,  0.693
10,  0.950,  0.318,  0.318,  0.517,  0.514
11,  1.050,  0.311,  0.311,  0.516,  0.517
12,  1.150,  0.295,  0.294,  0.525,  0.525
13,  1.250,  0.228,  0.227,  0.450,  0.451
14,  1.350,  0.156,  0.156,  0.305,  0.313
15,  1.450,  0.120,  0.120,  0.212,  0.211
16,  1.550,  0.133,  0.134,  0.255,  0.252
17,  1.650,  0.073,  0.071,  0.158,  0.166
18,  1.750, -0.064, -0.064, -0.103, -0.098
19,  1.850, -0.142, -0.141, -0.255, -0.256
20,  1.950, -0.167, -0.167, -0.303, -0.309

Noise normalized to a 1.5 density range
Zone,Y-noise,R-noise,G-noise,B-noise,Y-fstopN,R-fstopN,G-fstopN,B-fstrop
 1,  5.276,  3.419,  5.995,  6.217,  0.0961,  0.0623,  0.1092,  0.1133
 2,  4.643,  3.223,  5.847,  5.876,  0.0792,  0.0550,  0.0997,  0.1002
 3,  4.227,  2.924,  5.284,  5.106,  0.0860,  0.0595,  0.1075,  0.1039
 4,  3.736,  2.398,  4.212,  4.008,  0.1025,  0.0658,  0.1156,  0.1100
 5,  3.138,  2.077,  3.599,  3.609,  0.1063,  0.0704,  0.1220,  0.1223
 6,  2.674,  1.870,  3.134,  3.204,  0.1111,  0.0777,  0.1302,  0.1331
 7,  2.281,  1.550,  2.851,  2.715,  0.1203,  0.0817,  0.1504,  0.1432
 8,  2.042,  1.487,  2.542,  2.474,  0.1424,  0.1037,  0.1772,  0.1725
 9,  1.729,  1.338,  2.097,  2.108,  0.1389,  0.1075,  0.1685,  0.1694
10,  1.605,  1.168,  1.975,  1.987,  0.2197,  0.1599,  0.2704,  0.2720
11,  1.402,  1.025,  1.813,  1.768,  0.2114,  0.1545,  0.2734,  0.2666
12,  1.336,  0.936,  1.552,  1.569,  0.2268,  0.1589,  0.2634,  0.2663
13,  1.190,  0.825,  1.434,  1.404,  0.2775,  0.1924,  0.3345,  0.3273
14,  1.093,  0.776,  1.268,  1.277,  0.3895,  0.2767,  0.4519,  0.4552
15,  1.020,  0.696,  1.263,  1.204,  0.4911,  0.3353,  0.6081,  0.5798
16,  0.977,  0.665,  1.156,  1.141,  0.4362,  0.2969,  0.5164,  0.5093
17,  0.906,  0.619,  1.038,  1.106,  0.7528,  0.5143,  0.8623,  0.9187
18,  1.113,  0.698,  1.367,  1.403,42976461631273840.0000,26943178874399092.0000,52761578539552336.0000,54172258264270640.0000
19,  1.390,  0.832,  1.739,  1.740,53676633709175360.0000,32114171320542848.0000,67149127600875512.0000,67168894511111848.0000
20,  1.541,  0.872,  1.909,  1.942,59476116400129672.0000,33648573619028832.0000,73700773181055200.0000,74974157730627936.0000
21,  1.732,  1.010,  2.129,  2.178,66863004261034752.0000,39009131611081712.0000,82186439666247696.0000,84083390714756096.0000

S/N (signal/noise) and SNR(dB) (20*log10(signal/noise)) for each patch
Zone,Y-S/N,R-S/N,G-S/N,B-S/N,Y-SNR(dB),R-SNR(dB),G-SNR(dB),B-SNR(dB),Lux (patch)
 1,  23.571,  36.371,  20.745,  20.003, 27.448, 31.215, 26.338, 26.022
 2,  22.857,  32.928,  18.150,  18.060, 27.180, 30.351, 25.178, 25.134
 3,  20.203,  29.202,  16.162,  16.727, 26.108, 29.308, 24.170, 24.468
 4,  19.667,  30.636,  17.444,  18.332, 25.875, 29.725, 24.833, 25.264
 5,  19.501,  29.463,  16.999,  16.953, 25.801, 29.385, 24.608, 24.585
 6,  20.141,  28.801,  17.184,  16.810, 26.082, 29.188, 24.703, 24.511
 7,  19.811,  29.162,  15.854,  16.644, 25.938, 29.296, 24.003, 24.425
 8,  20.207,  27.748,  16.235,  16.680, 26.110, 28.865, 24.209, 24.444
 9,  20.631,  26.664,  17.008,  16.917, 26.290, 28.518, 24.613, 24.566
10,  20.563,  28.249,  16.706,  16.604, 26.262, 29.020, 24.458, 24.405
11,  21.977,  30.072,  16.998,  17.429, 26.840, 29.563, 24.608, 24.826
12,  21.399,  30.535,  18.424,  18.222, 26.608, 29.696, 25.307, 25.212
13,  22.608,  32.611,  18.752,  19.163, 27.085, 30.267, 25.461, 25.649
